CMPD_CHEMBLID,CANONICAL_SMILES,STANDARD_TYPE,STANDARD_VALUE,STANDARD_UNITS,LogS,PUBLISHED_TYPE
CHEMBL2036775,CC(C)N1CCO[C@@H](CN2CCN(CC2)C(=O)Nc3ccc(Cl)c(Cl)c3)C1,Solubility,1122000,nM,2.950007143,Solubility
CHEMBL161349,Oc1ccnc(SCc2nc(O)c3cc(CN(CC#C)c4ccc(cc4)C(=O)NCc5cccc(c5)[N+](=O)[O-])ccc3n2)n1,Solubility,200,nM,6.698970004,Solubility
CHEMBL387265,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC4CCN(CC4)S(=O)(=O)C,Solubility,5800,nM,5.236572006,Solubility
CHEMBL2023482,CCc1onc(NC(=O)Cc2ccc(Oc3ccnc4cc(OC)ccc34)cc2OC)c1,Solubility,4200,nM,5.37675071,Solubility
CHEMBL1173655,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4,Solubility,93300,nM,4.030118356,Solubility
CHEMBL218714,CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)c2cc3cc(Cl)sc3[nH]2,Solubility,1500,nM,5.823908741,Solubility
CHEMBL2164687,Clc1ccc2[nH]c3CCN(Cc3c2c1)C(=O)[C@@H]4CCCC[C@H]4C(=O)NC5(CC5)C#N,Solubility,128800,nM,3.890084137,Solubility
CHEMBL1762530,CN(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCOCC4)n1)c5cc(CO)ccc5C,Solubility,195000,nM,3.709965389,Solubility
CHEMBL2158534,CC1(CC1)c2nc(ncc2C(=O)N[C@@H]3C4CC5CC3C[C@@](O)(C5)C4)N6CCOCC6,Solubility,407400,nM,3.389978975,Solubility
CHEMBL2010831,CN(C1CCN(Cc2ccc(cc2)C(F)(F)F)CC1)C(=O)Cc3ccc(cc3)S(=O)(=O)C,Solubility,363100,nM,3.439973751,Solubility
CHEMBL455427,CC(C)n1c(C)ncc1c2ccnc(Nc3ccc(C(=O)N)c(F)c3)n2,Solubility,33100,nM,4.480172006,Solubility
CHEMBL443571,COc1ccc(cc1)c2cc(N)c(s2)C(=O)N,Solubility,30900,nM,4.510041521,Solubility
CHEMBL325639,CC(C)n1c2ccccc2c3c(F)c(NC(=O)N4CCOCC4)c(F)cc13,Solubility,4600,nM,5.337242168,Solubility
CHEMBL1561012,Fc1cccc(c1)C(=O)Nc2nc[nH]n2,Solubility,151400,nM,3.819874125,Solubility
CHEMBL222102,O=C1C=C(OC(=C1)c2cccc3Sc4ccccc4Sc23)N5CCOCC5,Solubility,7100,nM,5.148741651,Solubility
CHEMBL1549615,COc1cc2cc(nc(C)c2cc1OC)c3ccc(O)cc3O,Solubility,1200,nM,5.920818754,Solubility
CHEMBL489514,Cc1csc(NC(=O)c2cc(Sc3nncn3C)ccc2N)n1,Solubility,9100,nM,5.040958608,Solubility
CHEMBL1916084,Cc1ccc(cc1)S(=O)(=O)Nc2c(cnn2c3ccccc3)C(=O)NC4CCCCC4,Solubility,489800,nM,3.309981219,Solubility
CHEMBL2031224,COc1ccccc1C(=O)Nc2ccc(C)c(c2)N3C=Nc4ccc(cc4C3=O)N5CCN(C)CC5,Solubility,75900,nM,4.119758224,Solubility
CHEMBL1213071,Cc1onc(C(=O)N)c1C(=O)Nc2nccs2,Solubility,30900,nM,4.510041521,Solubility
CHEMBL2137932,CC(O)(C(=O)c1ccccc1)c2ccccc2,Solubility,676100,nM,3.169989064,Solubility
CHEMBL209410,Cc1csc(NC(=O)c2ccccc2)n1,Solubility,331100,nM,3.480040819,Solubility
CHEMBL2364611,Cc1cccc(n1)c2nn3CCCc3c2c4ccnc5ccc(cc45)C(=O)N,Solubility,182000,nM,3.739928612,Solubility
CHEMBL1809193,COc1cc(ccc1Nc2ncc(F)c(n2)c3cnc4ccccn34)N5CCN(CC5)C(=O)C,Solubility,14500,nM,4.838631998,Solubility
CHEMBL2086661,C[C@@H]1CN(CCN1C(=O)OC(C)(C)C)c2ncc(OCc3ccc(cc3)S(=O)(=O)C)cn2,Solubility,3300,nM,5.48148606,Solubility
CHEMBL2178954,Cc1ncc(nc1C(=O)N)c2ccc(cc2)[C@@H]3CC[C@@H](CC(=O)O)CC3,Solubility,371500,nM,3.430041182,Solubility
CHEMBL476578,CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)N4CC[C@H](C4)NC(=O)C)ncc2F,Solubility,8700,nM,5.060480747,Solubility
CHEMBL1630123,CN1CCN(CC(=O)Nc2ccc(C3=CC=CN4C(=O)C=C(N=C34)N5CCOCC5)c6sc7ccccc7c26)CC1,Solubility,5400,nM,5.26760624,Solubility
CHEMBL1076330,Cn1cnc(c2ccccc2)c1c3nc4c(N)ncnc4s3,Solubility,162200,nM,3.78994915,Solubility
CHEMBL2031225,COc1cccc(c1)C(=O)Nc2ccc(C)c(c2)N3C=Nc4ccc(cc4C3=O)N5CCN(C)CC5,Solubility,218800,nM,3.659952682,Solubility
CHEMBL2023480,COc1cc(Oc2ccnc3cc(F)ccc23)ccc1CC(=O)Nc4noc(C)c4C,Solubility,3500,nM,5.455931956,Solubility
CHEMBL2178950,Cc1ncc(nc1c2ccc(cc2)[C@@H]3CC[C@H](CC3)C(=O)O)C(=O)N,Solubility,1230300,nM,2.909988976,Solubility
CHEMBL806,CC(C)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+](=O)[O-],Solubility,89100,nM,4.050122296,Solubility
CHEMBL1449836,C(Sc1nnc(c2occc2)c(n1)c3occc3)c4ccccc4,Solubility,5200,nM,5.283996656,Solubility
CHEMBL1829174,Cc1cc(OCCCS(=O)(=O)C)cc(C)c1c2cccc(COc3ccc4[C@H](CC(=O)O)COc4c3)c2,Solubility,51300,nM,4.289882635,Solubility
CHEMBL249771,Cc1cc(C)cc(c1)c2[nH]c3sc(cc3c2CCN4CCC(CNC(=O)N5CCOCC5)CC4)C(C)(C)C(=O)N6C7CCC6CC7,Solubility,112200,nM,3.950007143,Solubility
CHEMBL382565,NC(=O)c1cc(sc1N)c2ccccc2,Solubility,69200,nM,4.159893906,Solubility
CHEMBL370252,CC1CCc2cc(F)cc3C(=O)C(=CN1c23)C(=O)O,Solubility,776200,nM,3.110026362,Solubility
CHEMBL1630130,O=C(CCN1CCCCC1)Nc2ccc(C3=CC=CN4C(=O)C=C(N=C34)N5CCOCC5)c6sc7ccccc7c26,Solubility,16600,nM,4.779891912,Solubility
CHEMBL2030964,CNc1cccc(CCCc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)s2)n1,Solubility,331100,nM,3.480040819,Solubility
CHEMBL2164681,CC(C)(C)[C@H](NC(=O)[C@@H]1CCCC[C@H]1C(=O)N2CCc3[nH]c4ccc(F)cc4c3C2)C#N,Solubility,74100,nM,4.130181792,Solubility
CHEMBL1503091,CCOc1ccc(NCC(=O)c2ccc(C)cc2)cc1,Solubility,1200,nM,5.920818754,Solubility
CHEMBL1964629,Nc1nc(Cl)nc(NCc2ccccc2)n1,Solubility,28200,nM,4.549750892,Solubility
CHEMBL1576980,COc1ccc(cc1)N(C)C(=O)c2ccc3nc(c4ccccc4)c(nc3c2)c5ccccc5,Solubility,700,nM,6.15490196,Solubility
CHEMBL184052,COc1cc2ncnc(Nc3cc(NC(=O)c4cccc(c4)N5CCOCC5)ccc3C)c2cc1OC,Solubility,14500,nM,4.838631998,Solubility
CHEMBL257198,C[C@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc5nccs5)c3)c12)C(=O)N(C)C,Solubility,31600,nM,4.500312917,Solubility
CHEMBL1951032,COc1c(Nc2ccc(nc2C)S(=O)(=O)C)ncnc1OC3CCN(CC3)C(=O)OC(C)C,Solubility,14800,nM,4.829738285,Solubility
CHEMBL470916,Nc1c(nc(nc1N2CCOCC2)C#N)N3CCCC3,Solubility,58900,nM,4.229884705,Solubility
CHEMBL233034,ONC(=O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3,Solubility,15100,nM,4.821023053,Solubility
CHEMBL114427,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)[C@H](CSc2ccccc2)C(=O)NO,Solubility,11200,nM,4.950781977,Solubility
CHEMBL2036745,OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(NC(=O)c3oc(Nc4ccccc4F)nn3)cc2,Solubility,123000,nM,3.910094889,Solubility
CHEMBL425300,Cc1cnc(NC(=O)Cc2ccccc2)s1,Solubility,17000,nM,4.769551079,Solubility
CHEMBL1951022,CC(C)OC(=O)N1CCC(CC1)Oc2ncnc(Nc3ccc(nc3C)S(=O)(=O)C)c2C,Solubility,12300,nM,4.910094889,Solubility
CHEMBL2031221,CN1CCN(CC1)c2ccc3N=CN(C(=O)c3c2)c4cc(NC(=O)c5cccc(c5)N6CCOCC6)ccc4C,Solubility,426600,nM,3.369979149,Solubility
CHEMBL2335132,O=C1C=C(Nc2ccccc12)c3ccc4OCOc4c3,Solubility,6200,nM,5.207608311,Solubility
CHEMBL412083,CCNC(=O)c1ccc(CN2CCC(CC2)c3ccc(cc3)C(=O)Nc4ccccc4N)cc1,Solubility,9100,nM,5.040958608,Solubility
CHEMBL1778370,COC[C@H](C)Oc1cc(Oc2cccc(F)c2)cc(c1)C(=O)Nc3ccc(cn3)C(=O)O,Solubility,1380400,nM,2.859995049,Solubility
CHEMBL2023898,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1c2ncc([nH]2)c3ccc(cc3)c4ccc(cc4)c5cnc([nH]5)[C@@H]6CCCN6C(=O)[C@@H](NC(=O)OC)C(C)C,Solubility,10200,nM,4.991399828,Solubility
CHEMBL2163349,CS(=O)(=O)c1ccc2c3CN(CCc3[nH]c2c1)C(=O)[C@@H]4CCCC[C@H]4C(=O)NC5(CC5)C#N,Solubility,912000,nM,3.040005162,Solubility
CHEMBL377300,C[C@@H](O)COc1cn2ncnc(Oc3ccc4[nH]c(C)cc4c3F)c2c1C,Solubility,1300,nM,5.886056648,Solubility
CHEMBL2023496,COc1ccc2c(Oc3cnc(CC(=O)Nc4cn(C)nc4C)c(OC)c3)ccnc2c1,Solubility,15100,nM,4.821023053,Solubility
CHEMBL1513,CCCCC1=NC2(CCCC2)C(=O)N1Cc3ccc(cc3)c4ccccc4c5nn[nH]n5,Solubility,891300,nM,3.049976093,Solubility
CHEMBL1165588,Fc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3ccccc3C#N,Solubility,134900,nM,3.86998805,Solubility
CHEMBL215634,Oc1ccccc1NC(=O)Cc2ccccc2,Solubility,245500,nM,3.609948504,Solubility
CHEMBL208812,CC(C)C(=O)Nc1ccc(cc1)c2sc3N(Cc4c(F)cccc4F)C=C(C(=O)c5ccccc5)C(=O)c3c2CN(C)Cc6ccccc6,Solubility,6800,nM,5.167491087,Solubility
CHEMBL2086670,C[C@@H]1CN(CCN1c2ncc(OCc3ccc(cc3)C#N)cn2)C(=O)OC(C)(C)C,Solubility,3400,nM,5.468521083,Solubility
CHEMBL483321,COCC(=O)NC\C=C\c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1,Solubility,1100,nM,5.958607315,Solubility
CHEMBL2031227,CN1CCN(CC1)c2ccc3N=CN(C(=O)c3c2)c4cc(NC(=O)c5ccc(cc5)C#N)ccc4C,Solubility,32400,nM,4.48945499,Solubility
CHEMBL1824381,Oc1cccc(NC(=O)c2ccc(OCCCN3CCCC3)cc2OC4CCCC4)c1,Solubility,58900,nM,4.229884705,Solubility
CHEMBL301928,COc1cc(ccc1Cc2cn(C)c3ccc(NC(=O)CC4CCCC4)cc23)C(=O)O,Solubility,186200,nM,3.730020323,Solubility
CHEMBL218006,C[C@H](NC1=NC(=O)[C@](C)(S1)C(F)(F)F)c2ccccc2F,Solubility,218800,nM,3.659952682,Solubility
CHEMBL1401353,Cc1cccc(NS(=O)(=O)c2cccc3nonc23)c1,Solubility,81300,nM,4.089909454,Solubility
CHEMBL212731,CCN(C1CCN(CC[C@H](c2ccc(cc2)S(=O)(=O)C)c3cccc(F)c3)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C,Solubility,234400,nM,3.630042393,Solubility
CHEMBL199110,COc1cnc(Cl)c(Nc2ncnc3cc(OCCN4CCN(CC4)C(=O)C)cc(OC(C)C)c23)n1,Solubility,22400,nM,4.649751982,Solubility
CHEMBL2023474,CCn1cc(NC(=O)Cc2ccc(Oc3ccnc4cc(F)ccc34)cc2OC)cn1,Solubility,2000,nM,5.698970004,Solubility
CHEMBL2325704,CS(=O)(=O)C1(CC1)c2cc(nc(n2)c3cccc4[nH]ccc34)N5CCOCC5,Solubility,4600,nM,5.337242168,Solubility
CHEMBL215559,COCCN1CCC(CC1)Oc2cc3c(Nc4cc(Cl)ccc4F)ncnc3cc2OC,Solubility,208900,nM,3.68006156,Solubility
CHEMBL202721,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN5CCOCC5,Solubility,2500,nM,5.602059991,Solubility
CHEMBL2086650,CC(C)(C)OC(=O)N1CCN(CC1)c2ncc(OCc3ccc(cc3)S(=O)(=O)C)cn2,Solubility,3200,nM,5.494850022,Solubility
CHEMBL1775179,CC(C)OC(=O)N1CCC(CC1)Oc2ncnc3c2cnn3c4ccc(cc4F)S(=O)(=O)C,Solubility,2100,nM,5.677780705,Solubility
CHEMBL787,CC(C)(O)c1ccccc1CC[C@@H](SCC2(CC(=O)O)CC2)c3cccc(\C=C\c4ccc5ccc(Cl)cc5n4)c3,Solubility,900,nM,6.045757491,Solubility
CHEMBL1809053,COc1cc(ccc1Nc2ncc(Cl)c(n2)c3cnc4ccccn34)N5CCOCC5,Solubility,16200,nM,4.790484985,Solubility
CHEMBL1669159,CC(C)Oc1cc(ccc1NC(=O)CN2CCOCC2)c3cccc4C(=O)C=C(Oc34)N5CCOCC5,Solubility,4000,nM,5.397940009,Solubility
CHEMBL461914,NC(=O)Nc1sc(cc1C(=O)Nc2ccccc2)c3ccccc3,Solubility,600,nM,6.22184875,Solubility
CHEMBL182266,CN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)c4ccncc4,Solubility,537000,nM,3.270025714,Solubility
CHEMBL378370,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C4CCNC4=O,Solubility,89100,nM,4.050122296,Solubility
CHEMBL413742,CCCCC(CC)CNC(=O)c1ccc2c(c1)c(Cc3ccc(cc3OC)C(=O)NS(=O)(=O)c4ccccc4C)cn2C,Solubility,6500,nM,5.187086643,Solubility
CHEMBL1201295,Cc1ccc(cc1)C(=O)Oc2ccc(cc2OC(=O)c3ccc(C)cc3)C(O)CNC(C)(C)C,Solubility,81300,nM,4.089909454,Solubility
CHEMBL2325725,CN(C)C(=O)c1cc(c2nc(cc(n2)C3(CC3)S(=O)(=O)C)N4CCOCC4)c5cc[nH]c5c1,Solubility,100000,nM,4,Solubility
CHEMBL1331821,COc1ccc2Nc3ccccc3Sc2c1,Solubility,2400,nM,5.619788758,Solubility
CHEMBL484555,COCCNS(=O)(=O)c1ccc(Nc2nccc(n2)c3cnc(C)n3C4CCCC4)cc1,Solubility,53700,nM,4.270025714,Solubility
CHEMBL2331605,C[C@@H]1CN(C[C@H](C)O1)c2nc(N3CCOC[C@@H]3C)c4ncc(nc4n2)c5ccccc5,Solubility,12900,nM,4.88941029,Solubility
CHEMBL186531,Cc1ccc(NC(=O)c2cc(F)cc(c2)N3CCOCC3)cc1NC(=O)c4ccc(OCc5ccccn5)cc4,Solubility,400,nM,6.397940009,Solubility
CHEMBL565079,Cc1cccc(C[C@H](NC(=O)c2cc(nn2C)C(C)(C)C)C(=O)NCC#N)c1,Solubility,63100,nM,4.199970641,Solubility
CHEMBL2036755,Clc1ccc(NC(=O)N2CCN(C[C@@H]3CCCN(CCc4ccccc4)C3)CC2)cc1Cl,Solubility,60300,nM,4.219682688,Solubility
CHEMBL1807823,O[C@@H](CNCCSCCCNCCc1ccccc1)c2ccc(O)c3NC(=O)Sc23,Solubility,1148200,nM,2.939982457,Solubility
CHEMBL1778368,COC[C@H](C)Oc1cc(Oc2cccc(Cl)c2)cc(c1)C(=O)Nc3ccc(cn3)C(=O)O,Solubility,1174900,nM,2.929999096,Solubility
CHEMBL539163,Cn1c(ccc1c2ccc3NC(=S)OC(C)(C)c3c2)C#N,Solubility,3600,nM,5.443697499,Solubility
CHEMBL1886726,CC1CN(C(=O)c2ccccc2)c3ccccc3NC1=O,Solubility,1202300,nM,2.919987153,Solubility
CHEMBL402986,C[C@H](CO)Nc1nc(SCc2ccccc2)nc3NC(=O)Sc13,Solubility,53700,nM,4.270025714,Solubility
CHEMBL257167,NC(=O)Nc1sc(cc1C(=O)N)c2ccc(F)cc2,Solubility,67600,nM,4.170053304,Solubility
CHEMBL182940,CCN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)NCc4cccc(C)c4,Solubility,70800,nM,4.149966742,Solubility
CHEMBL1555870,NC(=O)c1sc(cc1NS(=O)(=O)c2ccc(cc2)C(F)(F)F)c3ccsc3,Solubility,4800,nM,5.318758763,Solubility
CHEMBL455428,CNC(=O)c1ccc(Nc2nccc(n2)c3cnc(C)n3C(C)C)cc1F,Solubility,70800,nM,4.149966742,Solubility
CHEMBL195128,CC(C)Oc1cc(OCc2ccccc2)cc(c1)C(=O)Nc3ccc(cn3)C(=O)O,Solubility,10000,nM,5,Solubility
CHEMBL572881,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc4ccncc4)ccc12,Solubility,44700,nM,4.349692477,Solubility
CHEMBL213874,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OCC4CCN(C)CC4,Solubility,15100,nM,4.821023053,Solubility
CHEMBL59019,CC(=O)Nc1ccc(Br)cc1,Solubility,831800,nM,3.079981084,Solubility
CHEMBL1934418,C[C@H](NC(=O)c1c(C)nn(C2CCSCC2)c1NS(=O)(=O)c3ccc(C)cc3)C(C)(C)C,Solubility,912000,nM,3.040005162,Solubility
CHEMBL108922,CCO\N=C\c1ccc(OCCC2CCN(CC2)c3ccc(C)nn3)cc1,Solubility,2200,nM,5.657577319,Solubility
CHEMBL2325705,CS(=O)(=O)C1(CCOCC1)c2cc(nc(n2)c3cccc4[nH]ccc34)N5CCOCC5,Solubility,1800,nM,5.744727495,Solubility
CHEMBL435384,CCn1c2ccccc2c3cc(ccc13)N(C)C(=O)CCc4ccncc4,Solubility,55000,nM,4.259637311,Solubility
CHEMBL1405389,COc1ccc2OC(=O)C(=Cc2c1)C(=O)C,Solubility,49000,nM,4.30980392,Solubility
CHEMBL562743,CC(=O)Nc1nc2CCCNC(=O)c2s1,Solubility,1349000,nM,2.86998805,Solubility
CHEMBL1374274,Clc1ccc(cc1C(=O)Nc2ccccc2)n3cnnc3,Solubility,407400,nM,3.389978975,Solubility
CHEMBL113142,Nc1nc(NCCc2ccc(O)cc2)nc3nc(nn13)c4occc4,Solubility,52500,nM,4.279840697,Solubility
CHEMBL1447534,Nc1cccc(c1)S(=O)(=O)Nc2ccccc2,Solubility,1023300,nM,2.989997026,Solubility
CHEMBL2086691,C[C@@H]1CN(CCN1c2ncc(OCc3ccncc3C#N)cn2)c4noc(n4)C5CC5,Solubility,4800,nM,5.318758763,Solubility
CHEMBL397192,OC1CCN(CC1)C(=O)CN2C(=O)C(Cc3ccccc23)NC(=O)c4cc5cc(Cl)sc5[nH]4,Solubility,100,nM,7,Solubility
CHEMBL2164684,Fc1ccc2c3CN(CCc3[nH]c2c1)C(=O)[C@@H]4CCCC[C@H]4C(=O)NC5(CC5)C#N,Solubility,537000,nM,3.270025714,Solubility
CHEMBL1084762,OC(=O)C[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4sc(Cl)c(Cl)c4[nH]3,Solubility,1513600,nM,2.819988881,Solubility
CHEMBL258282,CN1CCN(CCOc2n[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,Solubility,26300,nM,4.580044252,Solubility
CHEMBL205816,CC(C)Oc1cc(O[C@@H](C)Cc2ccccc2)cc(c1)C(=O)Nc3ccc(cn3)C(=O)O,Solubility,9100,nM,5.040958608,Solubility
CHEMBL2031173,OC(=O)[C@H](Cc1ccc(OCCc2cccc(NC3CCCC3)n2)cc1)NC(=O)c4c(Cl)cccc4Cl,Solubility,295100,nM,3.530030791,Solubility
CHEMBL2178579,Oc1c(NC(=O)Nc2cccc(F)c2Cl)ccc(Cl)c1S(=O)(=O)N3CCNCC3,Solubility,457100,nM,3.339988779,Solubility
CHEMBL2325995,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(CCCN4CCOCC4)c5ccc(Cl)cc5,Solubility,1412500,nM,2.850011544,Solubility
CHEMBL2036577,CC(=O)N1CCN(CC1)c2ccc(NC(=O)c3oc(Nc4ccccc4F)nn3)cc2,Solubility,6200,nM,5.207608311,Solubility
CHEMBL359810,CC1=C(C(=O)N(C[C@H](N)c2ccccc2)C(=O)N1Cc3c(F)cccc3F)c4ccccc4F,Solubility,407400,nM,3.389978975,Solubility
CHEMBL2010852,CN([C@@H]1CCN(Cc2nc3ccccc3s2)C[C@@H]1F)C(=O)Cc4ccc(cc4)S(=O)(=O)C,Solubility,9100,nM,5.040958608,Solubility
CHEMBL304087,COc1cc(NC(=O)Nc2cccc(CNC(=O)O[C@H]3CCOC3)c2)ccc1c4ocnc4,Solubility,1300,nM,5.886056648,Solubility
CHEMBL2086663,CC(C)(C)OC(=O)N1CCN(c2ncc(OCc3ccc(cc3)S(=O)(=O)C)cn2)C(C)(C)C1,Solubility,1700,nM,5.769551079,Solubility
CHEMBL256994,CNC(=O)[C@@H](C)Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc5cccc(F)c5)c3)c12,Solubility,200,nM,6.698970004,Solubility
CHEMBL209689,Cc1ccc2c(c1)c(c(C)n2CC(=O)O)c3ccnc4c(C)cccc34,Solubility,190500,nM,3.72010502,Solubility
CHEMBL180685,CN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)Cc4ccc(Br)cc4,Solubility,21900,nM,4.659555885,Solubility
CHEMBL2010844,CN([C@H]1CCN(Cc2ccc(cc2)C(F)(F)F)C[C@H]1F)C(=O)Cc3ccc(cc3)n4cnnn4,Solubility,8100,nM,5.091514981,Solubility
CHEMBL1566034,O=C(N1CC(=O)Nc2ccccc12)c3occc3,Solubility,269200,nM,3.569924944,Solubility
CHEMBL428774,CN(C)C(=O)COc1cccc2ncnc(Nc3ccc4c(cnn4Cc5ccccn5)c3)c12,Solubility,10700,nM,4.970616222,Solubility
CHEMBL2163360,O=C(NC1(CC1)C#N)[C@@H]2CCCC[C@H]2C(=O)N3CCc4[nH]c5ncccc5c4C3,Solubility,1513600,nM,2.819988881,Solubility
CHEMBL1721498,Clc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)C3CC3,Solubility,190500,nM,3.72010502,Solubility
CHEMBL1762550,CN(c1ccnc(Nc2cc(nc(c2)N3CCOCC3)N4CCOCC4)n1)c5cc(CO)ccc5C,Solubility,39800,nM,4.400116928,Solubility
CHEMBL1778356,COC[C@H](C)Oc1cc(O[C@@H](C)Cc2cc(F)cc(F)c2)cc(c1)C(=O)Nc3ccc(cn3)C(=O)O,Solubility,645700,nM,3.189969214,Solubility
CHEMBL198497,CCN(C1CCN(CCC(c2ccccc2)c3ccc(NC(=O)C)cc3)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C,Solubility,691800,nM,3.160019442,Solubility
CHEMBL256117,Nc1ccccc1NC(=O)c2ccc(cc2)c3ncc(CN4CCCCC4)s3,Solubility,26300,nM,4.580044252,Solubility
CHEMBL223360,Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3cccc4[nH]nc(N)c34)c1,Solubility,600,nM,6.22184875,Solubility
CHEMBL2059005,CCCSc1nc2ccc(NC(=O)CCNC(=O)N)cc2s1,Solubility,93300,nM,4.030118356,Solubility
CHEMBL841,CN(C)C(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4,Solubility,5600,nM,5.251811973,Solubility
CHEMBL2023477,COc1cc(Oc2ccnc3cc(OC)c(OC)cc23)ccc1CC(=O)Nc4noc(C)c4C,Solubility,17400,nM,4.759450752,Solubility
CHEMBL430407,C[C@H](Oc1cccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c12)C(=O)N5CCOCC5,Solubility,31600,nM,4.500312917,Solubility
CHEMBL1806525,COc1cc(ccc1Nc2ncc(C#N)c(n2)c3cnc4ccccn34)N5CCN(CC5)C(=O)C,Solubility,900,nM,6.045757491,Solubility
CHEMBL1824371,Oc1cccc(NC(=O)c2ccc(OCCCN3CCCC3)cc2OCc4cccc(F)c4)c1,Solubility,14800,nM,4.829738285,Solubility
